02:40:11  [main] 	Initializing Control Panel
02:40:11  [main] 	Windows Version:  Enterprise  64-bit
02:40:11  [main] 	XAMPP Version: 8.2.12
02:40:11  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
02:40:11  [main] 	You are not running with administrator rights! This will work for
02:40:11  [main] 	most application stuff but whenever you do something with services
02:40:11  [main] 	there will be a security dialogue or things will break! So think 
02:40:11  [main] 	about running this application with administrator rights!
02:40:11  [main] 	XAMPP Installation Directory: "e:\uni assignments\c++ programming game\3dwebgame\web game\xampp\"
02:40:11  [main] 	WARNING: Your install directory contains spaces.  This may break programs/scripts
02:40:11  [main] 	WARNING: Your install directory contains special characters.  This may break programs/scripts
02:40:11  [main] 	Checking for prerequisites
02:40:13  [main] 	All prerequisites found
02:40:13  [main] 	Initializing Modules
02:40:13  [main] 	The FileZilla module is disabled
02:40:13  [main] 	The Mercury module is disabled
02:40:13  [Tomcat] 	Problem detected: Tomcat Not Found!
02:40:13  [Tomcat] 	Disabling Tomcat buttons
02:40:13  [Tomcat] 	Run this program from your XAMPP root directory!
02:40:13  [main] 	Starting Check-Timer
02:40:13  [main] 	Control Panel Ready
02:40:15  [Apache] 	Attempting to start Apache app...
02:40:15  [Apache] 	Status change detected: running
02:40:15  [Apache] 	Status change detected: stopped
02:40:15  [Apache] 	Error: Apache shutdown unexpectedly.
02:40:15  [Apache] 	This may be due to a blocked port, missing dependencies, 
02:40:15  [Apache] 	improper privileges, a crash, or a shutdown by another method.
02:40:16  [Apache] 	Press the Logs button to view error logs and check
02:40:16  [Apache] 	the Windows Event Viewer for more clues
02:40:16  [Apache] 	If you need more help, copy and post this
02:40:16  [Apache] 	entire log window on the forums
02:40:16  [mysql] 	Attempting to start MySQL app...
02:40:16  [mysql] 	Status change detected: running
02:40:16  [mysql] 	Status change detected: stopped
02:40:16  [mysql] 	Error: MySQL shutdown unexpectedly.
02:40:16  [mysql] 	This may be due to a blocked port, missing dependencies, 
02:40:16  [mysql] 	improper privileges, a crash, or a shutdown by another method.
02:40:16  [mysql] 	Press the Logs button to view error logs and check
02:40:16  [mysql] 	the Windows Event Viewer for more clues
02:40:16  [mysql] 	If you need more help, copy and post this
02:40:17  [mysql] 	entire log window on the forums
04:04:07  [main] 	Deinitializing Modules
04:04:07  [main] 	Deinitializing Control Panel

